"","accident_severity","n","year"
"1","Fatal",107533,"2004"
"2","Serious",1209655,"2004"
"3","Slight",4907010,"2004"
"4","Fatal",21382,"2005"
"5","Serious",222042,"2005"
"6","Slight",1397173,"2005"
"7","Fatal",21382,"2006"
"8","Serious",222042,"2006"
"9","Slight",1397173,"2006"
"10","Fatal",21382,"2007"
"11","Serious",222042,"2007"
"12","Slight",1397173,"2007"
"13","Fatal",21382,"2008"
"14","Serious",222042,"2008"
"15","Slight",1397173,"2008"
"16","Fatal",2057,"2009"
"17","Serious",21997,"2009"
"18","Slight",139500,"2009"
"19","Fatal",1731,"2010"
"20","Serious",20440,"2010"
"21","Slight",132243,"2010"
"22","Fatal",1797,"2011"
"23","Serious",20986,"2011"
"24","Slight",128691,"2011"
"25","Fatal",1637,"2012"
"26","Serious",20901,"2012"
"27","Slight",123033,"2012"
"28","Fatal",1608,"2013"
"29","Serious",19624,"2013"
"30","Slight",117428,"2013"
"31","Fatal",1658,"2014"
"32","Serious",20676,"2014"
"33","Slight",123988,"2014"
"34","Fatal",1616,"2015"
"35","Serious",20038,"2015"
"36","Slight",118402,"2015"
"37","Fatal",1695,"2016"
"38","Serious",21725,"2016"
"39","Slight",113201,"2016"
"40","Fatal",1676,"2017"
"41","Serious",22534,"2017"
"42","Slight",105772,"2017"
"43","Fatal",1671,"2018"
"44","Serious",23165,"2018"
"45","Slight",97799,"2018"
